GeneID	GSM7510191	GSM7510192	GSM7510193	GSM7510194	GSM7510195	GSM7510196	GSM7510197	GSM7510198	GSM7510199	GSM7510200	GSM7510201	GSM7510202
54760	0.9586	1.739	1.502	0.3969	0.2885	0.5037	0.7378	0.6097	0.5131	0.5879	0.5045	0.321
92840	41.08	36.67	39.53	23.01	23.36	24.72	25.65	36.51	33.76	30.68	28.65	21.06
339366	0.5631	3.837	4.404	0.03994	0.0387	0.06403	0	0.128	0.08261	0.1578	0.8435	0.2819
107985337	0	0	0	0.1539	0	0	0	0.2466	0	0	0	0
126520	0.07012	0.1217	0	0.04476	0.04337	0	0	0	0.09258	0	0.05251	0
399664	15.65	40.43	38.24	21.36	18.61	18.87	12.52	12.12	32.75	28.64	28	19.92
53615	60.28	88.57	81.04	92.48	98.5	81.44	83.38	76.16	108	91.52	129.4	98.21
10975	198.5	263.4	255.9	200	200.2	210.5	250.2	216.8	197.3	196.6	253.2	220.3
6929	27.17	40.23	35.82	17.77	18.61	33.98	24.23	21.3	42.35	37.71	21.65	16.33
390874	0	0	0	0.04709	0	0	0.02415	0	0	0	0	0
101928543	0	0.01755	0	0	0	0	0	0	0.04006	0	0	0
148229	1.513	4.084	3.262	1.267	1.481	1.935	1.16	1.338	3.974	3.556	1.298	0.923
57455	23.69	19.94	17.28	18.92	19.25	21.32	18.69	24.98	21.7	18.53	22.29	16.33
100302210	85.03	69	37.88	54.98	68.31	58.76	59.64	88.13	71.45	47.33	77.75	42.3
100288123	5.193	3.857	3.261	5.156	4.918	5.052	4.218	5.772	5.587	4.526	5.954	3.9
83855	42.51	60.78	50.04	38.49	43.29	51.98	53.41	46.02	53.64	42.35	52	38.59
81926	24.07	35.76	31.01	24.25	27.93	27.5	27.85	28.29	34.3	28.56	35.86	28.21
113178	64.86	80.51	74.3	62.95	62.49	60.73	58.69	76.87	88.34	76.28	80.53	59.29
113179	8.896	11.63	9.216	9.311	9.569	9.838	8.789	12.44	11.38	12.47	10.18	7.095
105372238	0.115	0.2662	0	0.4406	0.1423	0	0	0.2354	0.1519	0.145	0.1723	0
1455	57.97	86.99	77.16	48.7	49.35	56.87	57.24	53.94	87.39	74.11	68.23	53.22
255193	0	0.07785	0	0	0	0	0.06607	0	0.1777	0	0.1008	0.1516
55643	88.58	156.5	126.6	70.09	68.77	91.18	93.08	100.8	140.4	121.2	109.6	80.98
107985278	0.8747	0	0.7761	0.8375	1.623	0.2238	1.288	0.6712	0.2887	0.2757	0	0
2872	162.3	61.58	50.35	73.91	76.57	164.3	115.9	109.4	57.62	47.89	70.65	57.11
126308	25.93	38.06	32.26	21.56	22.56	43.86	44.21	36.28	42.76	37.83	26.56	20.03
113177	0.3687	0.5865	0.7087	0.2942	0.114	0.8489	0.6788	0.613	0.6693	0.2324	0.6213	0.9345
8943	110.7	138.2	126.1	117.2	113.9	131.7	104.1	123.8	162.2	142	118	93.7
84444	10.77	11.04	9	11.68	12.73	12.42	11.59	15.43	17.9	13.85	11.24	7.677
55111	46.96	66.44	62.1	48.52	49.91	57.18	58.51	60.96	65.28	58.07	75.78	67.6
100302283	6.024	5.808	8.313	3.845	6.21	5.137	3.943	5.136	10.6	7.594	12.03	12.44
102466736	182.1	199.2	171.7	132.4	168.4	205.7	225.7	222.3	210.7	201.2	268.7	223.4
8175	56.04	112	94.7	69.25	80.54	60.81	80	79.84	98.06	92.46	90.49	64.85
268	8.693	3.616	2.138	5.175	7.311	7.396	6.33	4.947	3.289	3.078	9.071	5.556
100423031	25.4	2.555	6.532	11.28	28.69	20.34	23.86	14.69	11.66	8.353	9.925	24.88
126306	0	0.3206	0	0.07076	0	0.1134	0.05442	0.05671	0	0	0.08302	0
105372240	0	0	0	0.1659	0.3215	0	0	0.1329	0.1715	0	0.1946	0.1464
4946	2336	2123	2088	2286	2349	2639	2485	2474	2336	2184	2676	2420
374872	0	0.9966	0.4891	0.04399	0.04263	0	0.1015	0	0.09099	0.1303	0.1032	0
645191	0.08343	0.04826	0	0	0	0	0	0	0	0	0.06248	0
101928572	0	0	0	0	0	0	0	0	0	0	0	0
51690	133.3	199.5	203.2	158.8	135.3	143.3	178.3	111.5	122.4	131.1	185.8	174.4
56928	8.896	18.48	17.01	8.319	8.874	8.191	8.252	6.823	10.8	9.633	11.69	7.988
360200	0.5267	1.066	0.7268	0.4202	0.4344	0.4042	0.6249	0.8083	0.6664	0.6363	0.9861	0.9146
26517	81.55	102.3	103.4	84.45	75.73	91.93	101.1	99.68	71.85	68.81	101.3	88.93
84823	225.7	370.1	335.5	273.8	272.6	224	198.3	227.8	445.3	395.5	304.7	237.6
102466806	2.031	2.35	0	0	0	1.039	1.994	1.039	2.682	0	0	0
101928602	4.07	5.817	6.514	2.14	1.185	1.47	0.9404	3.429	5.69	6.338	5.021	1.079
4616	563.1	53.87	54.43	143.6	151.9	190.5	116.5	140.2	30.38	27.27	57.82	47.81
2788	0.9627	3.759	2.989	0.2816	0.09925	0.02052	0.01969	0.08208	0.1589	0.354	0.3906	0.1807
102465838	0	0	0	0	0	0	0	0	0	0	0	0
148252	11.51	39.06	35.8	5.527	4.995	8.538	7.405	11.97	15.19	12.2	9.984	7.207
29985	26.03	42.33	41.69	25.71	26.13	30.41	31.2	31.3	28.04	26.66	34.76	28.01
6449	143.7	207.1	187.3	159.8	169.4	147.9	153.9	157.8	161.4	143.1	194.5	164.9
7064	42.3	62.97	56.45	40.34	41.55	47.49	45.31	43.21	51.12	45.13	58.28	46.57
