Gene,Pat3.Myeloid,Pat1.Myeloid,Pat2.Myeloid,Pat5.Myeloid,MS2.Myeloid,MS4.Myeloid,MS5.Myeloid
ABCC4,5.264,4.898,5.13,5.853,3.703,2.562,2.503
LINC01159,,,,,,,
ZMPSTE24,4.008,2.782,3.414,4.058,1.767,4.183,3.908
AKAP8,3.33,3.673,3.674,3.947,3.038,3.434,3.303
FSTL3,1.142,0.6671,1.176,1.342,2.538,0,1.927
LINC01499,,,,,,,
SIGMAR1,3.953,4.22,4.011,3.167,3.703,3.539,3.434
BET1,2.685,3.206,2.379,2.319,0,2.562,2.503
CWC27,2.815,3.379,4.432,2.772,3.038,3.321,3.716
SAP18,4.815,4.926,4.616,4.76,5.388,5.33,5.347
SMNDC1,3.24,3.295,3.47,2.896,1.767,3.539,3.37
BCAS2,2.815,2.512,2.124,2.636,3.408,2.749,3.16
SPEG,0,0,0,0,0,0,0
SF3A1,4.162,3.917,4.487,4.209,3.408,4.476,4.52
DNAJA2,3.043,3.673,4.048,3.436,3.038,3.637,4.264
BCKDK,3.493,2.179,3.934,2.896,2.538,3.729,3.908
MARCH6,6.113,5.752,5.775,5.837,6.042,5.645,5.473
ADAR,5.33,5.059,5.684,5.448,4.899,5.301,6.206
DLEU1,0,0,0.5059,0.6905,0,1.398,0
APBB3,4.686,4.926,4.284,4.031,3.038,3.897,3.61
CDKN2C,2.006,1.745,1.632,2.319,3.038,2.347,3.37
DSCR3,2.685,1.745,2.692,3.011,3.038,2.749,3.766
LANCL1,2.543,2.9,2.783,2.836,5.544,3.063,3.001
B3GALT5,0,0,0.8798,0.3862,2.538,0,0
TNIP1,2.543,3.206,2.949,2.706,3.038,4.308,3.716
PCGF3,4.544,5.181,4.946,4.431,5.011,2.562,2.822
TRDN,1.142,0,1.176,0,0,0,0
HMG20B,3.895,2.512,3.625,2.706,2.538,3.539,3.716
MICU1,2.006,3.111,2.868,3.011,4.156,3.063,4.077
LINC01435,0,0,0,0,0,0,0
BIRC6-AS2,0,0.6671,0.5059,0.3862,0,0.8619,0
TUBB3,0,0,0,0,0,0,0
TUBB4A,0,0.6671,0.5059,0.3862,0,0.8619,0.5528
TUBB4B,3.24,2.179,2.124,2.955,3.703,3.321,4.46
NDRG1,1.771,1.122,3.098,1.912,4.338,4.247,3.908
RACK1,6.448,6.89,6.822,6.848,6.144,7.963,8.425
ADARB1,0.6812,0.6671,1.978,2.486,0,2.562,2.243
PEMT,2.006,1.467,1.176,2.706,0,0.8619,2.379
PIAS3,2.543,1.745,2.257,1.342,0,1.788,1.264
BASP1,5.017,4.716,5.041,5.081,3.038,6.071,6.122
IFITM3,5.07,4.431,5.294,3.215,5.544,7.472,6.603
NSA2,4.21,4.616,3.894,4.11,4.5,5.176,5.244
CD2BP2,4.061,2.653,3.414,4.185,1.767,2.914,3.766
TUBGCP3,3.836,4.308,4.011,3.947,2.538,3.897,3.16
SEC24B,2.933,3.206,3.47,3.352,0,3.637,2.914
TMEM147,4.061,3.972,3.934,3.731,3.947,4.047,5.013
LYPLA1,4.008,4.077,4.011,4.11,4.156,4.888,4.46
OLFM1,0.6812,0.6671,0.8798,0.3862,0,0,0
TIMM17A,2.815,2.9,2.868,3.476,2.538,2.347,3.664
MCRS1,4.301,4.174,3.81,3.554,3.947,4.183,4.264
LRRN2,2.685,1.122,2.257,3.117,2.538,1.788,0
FAM3C,3.33,3.8,2.595,3.262,2.538,1.788,3.303
PPIE,2.933,3.01,1.978,2.405,1.767,3.198,2.379
TOMM40,4.21,3.8,4.46,3.627,4.899,3.637,3.862
HAX1,3.708,3.111,3.524,3.554,3.038,3.063,4.036
BAIAP2,3.33,2.782,3.894,4.324,3.038,4.366,3.716
TACC3,1.142,1.122,1.978,1.507,0,3.637,3.303
SLC30A9,3.64,3.111,3.414,3.731,3.038,3.815,3.495
TIMM44,2.815,2.355,1.816,2.025,0,1.788,2.503
PFDN6,0,0,0.8798,2.706,0,1.788,0.9515
ZBTB18,3.414,3.534,3.852,3.436,0,4.627,3.434
HMGN4,1.771,0.6671,1.422,0.3862,0,1.398,2.094
TADA3,4.752,3.972,4.757,4.51,4.646,4.674,4.835
SLC9A6,3.414,3.86,2.868,3.476,3.408,3.974,4.116
NXF1,5.394,5.033,5.147,5.23,4.778,5.208,4.633
SEC23A,5.394,5.457,4.965,5.428,7.275,5.003,3.952
CAP2,0.6812,0,1.176,0,0,0.8619,0.5528
CAP1,7.346,7.49,7.548,7.481,6.284,7.347,7.924
CREB3,2.208,1.467,1.422,1.342,0,2.347,3.233
SYNCRIP,4.934,5.752,5.324,5.62,4.338,5.822,5.658
UNC13B,1.142,1.122,1.422,0.3862,3.038,1.788,1.927
CARM1,0,0,0.5059,0.3862,0,0,0
SEMA6C,0,0,1.176,0.9417,0,0,0
SEMA4B,1.142,0,0,0.3862,2.538,2.749,2.094
SEMA3C,0,1.122,1.632,0,0,1.398,3.233
APPBP2,3.64,3.459,3.81,3.764,4.156,4.183,4.036
MYBBP1A,1.142,1.122,2.124,2.13,0,0.8619,1.927
FBXW10,,,,,,,
CIB1,3.493,2.653,3.47,3.515,4.5,4.183,4.633
CEBPD,4.428,4.683,4.188,5.182,6.239,6.94,5.617
ZNF211,2.815,1.745,1.176,2.896,1.767,0,1.738
IPO8,2.543,2.782,2.692,3.394,4.646,4.422,4.116
