Gene,MOLM13_sgNT_R1,MOLM13_sgNT_R2
AC005176.1,0,0
AC005176.2,0,0
AC005178.1,0,0
AC005180.1,0,0
AC005180.2,0,0
AC005181.1,0,0
AC005183.1,0,0
AC005185.1,0,0
AC005189.1,0.235,0.217
AC005191.1,0,0
AC005195.1,0,0
AC005197.1,0.107,0
AC005208.1,0,0
AC005209.1,0,0
AC005215.1,0,0
AC005220.1,0.082,0.229
AC005224.1,0,0
AC005224.2,0.034,0.031
AC005224.3,5.16,4.73
AC005225.1,0,0
AC005225.2,0.019,0
AC005225.3,0,0.389
AC005225.4,0.72,0.121
AC005229.1,0,0
AC005229.2,0,0
AC005229.3,0,0
AC005229.4,1.856,2.636
AC005229.5,0,0
AC005230.1,0,0
AC005232.1,0,0
AC005234.1,0,0
AC005234.2,0,0
AC005237.1,0,0
AC005237.2,0,0
AC005244.1,0,0.199
AC005244.2,0,0
AC005252.1,0,0
AC005252.2,0,0
AC005252.3,0,0
AC005253.1,0.036,0.067
AC005253.2,0,0.156
AC005255.1,13.493,7.797
AC005256.1,2.068,2.647
AC005258.1,0,0
AC005258.2,0,0.165
AC005261.1,22.433,26.958
AC005261.2,0,0.064
AC005261.3,0,0
AC005261.4,1.231,0.949
AC005261.5,0.053,0
AC005262.1,0.604,0.372
AC005262.2,0,0
AC005264.1,0,0
AC005274.1,0,0
AC005277.1,0.217,0.201
AC005277.2,0,0
AC005280.1,1.051,0.909
AC005280.2,5.728,5.105
AC005280.3,4.186,3.541
AC005281.1,0,0
AC005284.1,0,0
AC005288.1,0.96,0.71
AC005291.1,0,0.105
AC005291.2,0,0
AC005293.1,0,0
AC005294.1,0,0
AC005296.1,0,0
AC005297.1,0,0
AC005297.2,0,0
AC005297.3,0,0
AC005300.1,0.195,0
AC005301.1,0,0
AC005301.2,0,0
AC005303.1,0,0
AC005304.1,0,0
AC005304.2,0,0
AC005304.3,0,0
AC005306.1,1.87,1.081
AC005307.1,0,0
AC005323.1,0,0
AC005323.2,0,0
AC005324.1,0,0.085
AC005324.2,0,0
AC005324.3,0,0.061
AC005324.4,0,0
AC005324.5,0,0
AC005324.6,0,0
AC005326.1,0,0
AC005329.1,0.551,0.396
AC005329.2,0,0
AC005329.3,0,0.025
AC005330.1,0,0
AC005332.1,0,0.154
